Random1 score,Random2 score,Random3 score,Flex1 score,Random1 won,Random2 won,Random3 won,Flex1 won
57500,50100,57600,47800,0,0,1,0
39600,27500,57500,41400,0,0,1,0
44800,52500,49200,66400,0,0,0,1
25000,47100,65300,64200,0,0,1,0
47900,45300,52600,47600,0,0,1,0
67500,46200,31600,36300,1,0,0,0
37500,37800,43600,26300,0,0,1,0
33200,56000,42500,54700,0,1,0,0
47000,43100,42900,46500,1,0,0,0
41200,51600,38300,43300,0,1,0,0
42900,37200,43700,38000,0,0,1,0
36300,38700,64800,55500,0,0,1,0
32000,57400,33100,54900,0,1,0,0
40800,46600,49200,44100,0,0,1,0
32900,43600,46800,45800,0,0,1,0
32800,43600,37000,61500,0,0,0,1
38700,29500,45900,61300,0,0,0,1
45300,32100,56800,37700,0,0,1,0
50700,51900,41100,58300,0,0,0,1
41700,22400,33900,47400,0,0,0,1
52800,39300,41100,53000,0,0,0,1
26900,30300,39400,49700,0,0,0,1
21500,17700,33600,47900,0,0,0,1
42700,39500,49300,55600,0,0,0,1
36100,50900,37900,54300,0,0,0,1
34500,53600,41400,34000,0,1,0,0
47000,28800,41900,47800,0,0,0,1
37500,47300,63300,50400,0,0,1,0
57000,37200,40600,44700,1,0,0,0
34000,54500,47700,41500,0,1,0,0
39800,36100,56100,44800,0,0,1,0
33000,55800,54000,68600,0,0,0,1
37000,40900,36600,46700,0,0,0,1
28400,52700,53300,49500,0,0,1,0
69900,48000,31500,50300,1,0,0,0
41300,45500,30100,68400,0,0,0,1
31400,35000,55300,57800,0,0,0,1
49000,46300,47400,32300,1,0,0,0
47100,47000,44000,41200,1,0,0,0
51700,38200,41900,52200,0,0,0,1
52100,47300,29900,37900,1,0,0,0
40800,35400,50700,53900,0,0,0,1
49900,31300,45800,55400,0,0,0,1
32900,49800,46500,55100,0,0,0,1
26200,45300,31000,41600,0,1,0,0
38600,41700,34100,54600,0,0,0,1
47500,46900,31900,46400,1,0,0,0
50300,27200,46100,24500,1,0,0,0
48300,45400,46900,48300,1,0,0,1
25400,41900,57300,68100,0,0,0,1
51000,51700,19300,50000,0,1,0,0
45000,40700,47300,80000,0,0,0,1
45000,47100,30500,43900,0,1,0,0
48800,47900,47100,76000,0,0,0,1
41200,52500,29000,39300,0,1,0,0
28600,41900,38200,56100,0,0,0,1
46600,44500,42000,23400,1,0,0,0
53100,37500,65000,41000,0,0,1,0
48800,60000,28400,61200,0,0,0,1
44900,51000,50200,52500,0,0,0,1
37600,55400,32200,76500,0,0,0,1
28300,58900,44800,44100,0,1,0,0
42500,67200,40900,40200,0,1,0,0
51800,61000,35400,49200,0,1,0,0
30600,42700,25300,46000,0,0,0,1
